1185: 0.919371, 1.097545 avg, 0.004000 rate, 4.704433 seconds, 303360 images
1186: 0.926164, 1.080407 avg, 0.004000 rate, 4.779136 seconds, 303616 images
1187: 0.951574, 1.067524 avg, 0.004000 rate, 4.886781 seconds, 303872 images
1200: 0.905520, 1.051324 avg, 0.004000 rate, 5.199915 seconds, 307200 images
1201: 0.885926, 1.034784 avg, 0.004000 rate, 4.664234 seconds, 307456 images
1202: 0.968066, 1.028112 avg, 0.004000 rate, 4.833107 seconds, 307712 images
1203: 0.947583, 1.020059 avg, 0.004000 rate, 4.903680 seconds, 307968 images
1216: 1.046853, 1.022738 avg, 0.004000 rate, 5.228669 seconds, 311296 images
1217: 0.905441, 1.011009 avg, 0.004000 rate, 4.829288 seconds, 311552 images
1218: 0.878643, 0.997772 avg, 0.004000 rate, 4.894008 seconds, 311808 images
1219: 0.929049, 0.990900 avg, 0.004000 rate, 4.815665 seconds, 312064 images
1232: 0.878628, 0.979673 avg, 0.004000 rate, 5.326026 seconds, 315392 images
1233: 0.707318, 0.952437 avg, 0.004000 rate, 4.810116 seconds, 315648 images
1234: 0.826751, 0.939869 avg, 0.004000 rate, 4.848114 seconds, 315904 images
1235: 0.840027, 0.929884 avg, 0.004000 rate, 4.929957 seconds, 316160 images
1248: 0.836963, 0.920592 avg, 0.004000 rate, 5.166403 seconds, 319488 images
1249: 0.664696, 0.895003 avg, 0.004000 rate, 4.748967 seconds, 319744 images
1250: 0.805808, 0.886083 avg, 0.004000 rate, 4.930623 seconds, 320000 images
1251: 0.776442, 0.875119 avg, 0.004000 rate, 4.960641 seconds, 320256 images
1264: 0.840659, 0.871673 avg, 0.004000 rate, 5.194928 seconds, 323584 images
1265: 0.701962, 0.854702 avg, 0.004000 rate, 4.756039 seconds, 323840 images
1266: 0.799948, 0.849227 avg, 0.004000 rate, 4.877145 seconds, 324096 images
1267: 0.799212, 0.844225 avg, 0.004000 rate, 4.769051 seconds, 324352 images
1280: 0.973147, 0.857117 avg, 0.004000 rate, 5.190908 seconds, 327680 images
1281: 0.728578, 0.844263 avg, 0.004000 rate, 4.671614 seconds, 327936 images
1282: 0.798525, 0.839689 avg, 0.004000 rate, 4.897016 seconds, 328192 images
1283: 0.778219, 0.833542 avg, 0.004000 rate, 4.877575 seconds, 328448 images
1296: 0.754606, 0.825649 avg, 0.004000 rate, 5.227500 seconds, 331776 images
1297: 0.663835, 0.809467 avg, 0.004000 rate, 4.694010 seconds, 332032 images
1298: 0.784618, 0.806982 avg, 0.004000 rate, 4.893772 seconds, 332288 images
1299: 0.799207, 0.806205 avg, 0.004000 rate, 4.781321 seconds, 332544 images
1312: 0.855420, 0.811126 avg, 0.004000 rate, 5.122184 seconds, 335872 images
1313: 0.737558, 0.803769 avg, 0.004000 rate, 4.743220 seconds, 336128 images
1314: 0.808930, 0.804285 avg, 0.004000 rate, 4.742559 seconds, 336384 images
1315: 0.771201, 0.800977 avg, 0.004000 rate, 4.821933 seconds, 336640 images
